id,name,slug,type
cb16aea0-b9eb-11e1-94b1-00505690014d,Chris Christie,Chris_Christie,Public Figure
6f90e4f0-b929-11e1-8e9d-00505690014d,Chuck Grassley,Chuck_Grassley,Public Figure
35b4d330-5f33-11e2-812d-005056a8759d,Church of Jesus Christ of Latter-Day Saints,Church_of_Jesus_Christ_of_Latter_Day_Saints,Topic
b2a5e990-ccff-11e1-beea-005056a8759d,Cigars,Cigars,Topic
fced9070-b3dc-11e1-993a-00505690014d,City Government,City_Government,Topic
4f0f8710-ccff-11e1-beea-005056a8759d,Civil Rights,Civil_Rights,Topic
ecdb5b80-4b6f-11e5-9438-005056a8759d,Civil Rights Act of 1964,Civil_Rights_Act_of_1964,Historical Event
bb13dd1b-a904-11e1-9412-005056900141,Civil War,Civil_War,Topic
bae293d0-a904-11e1-9412-005056900141,Climate,Climate,Topic
bcb4bbb5-a904-11e1-9412-005056900141,Coffee,Coffee,Topic
bb74739b-a904-11e1-9412-005056900141,Collective Behavior and Social Movements,Collective_Behavior_and_Social_Movements,Topic
2c766eb0-abcd-11e1-90a3-00505690014d,College,College,Topic
c261fb22-a904-11e1-9412-005056900141,Colonialism,Colonialism,Topic
49cf41f0-4b73-11e5-9438-005056a8759d,Columbine shootings,Columbine_shootings,Historical Event
bb79559d-a904-11e1-9412-005056900141,Communities & Local Government,Communities_Local_Government,Topic
bb736230-a904-11e1-9412-005056900141,Community Health,Community_Health,Topic
b86938c0-1122-11e2-8d8e-005056a8759d,Companies,Companies,Topic
bb74258f-a904-11e1-9412-005056900141,Competition/Antitrust Law,Competition_Antitrust_Law,Topic
04c13d00-c121-11e1-939f-005056a8759d,Composting,Composting,Topic
bb73b032-a904-11e1-9412-005056900141,Computer Security,Computer_Security,Topic
b24bbc10-1f87-11e2-8b86-005056a8759d,Computers,Computers,Topic
26adb4f0-c4f7-11e1-beea-005056a8759d,Computing,Computing,Topic
e047da60-37e5-11e2-bcb0-005056a8759d,Concert tickets,Concert_tickets,Topic
b8695fd0-1122-11e2-8d8e-005056a8759d,Confectionery,Confectionery,Topic
4ac14040-87b7-11e2-9a4b-005056a8759d,Congressional Budget Office,Congressional_Budget_Office,Institution
8b4c2ea0-493b-11e2-9aac-005056a8759d,Conservation,Conservation,Topic
bc5c3b90-a904-11e1-9412-005056900141,Conspiracy theories,Conspiracy_theories,Topic
c244fd4a-a904-11e1-9412-005056900141,Contraception,Contraception,Issue
bb742591-a904-11e1-9412-005056900141,Contract Law,Contract_Law,Topic
4c1aec90-c456-11e1-beea-005056a8759d,Copyright,Copyright,Topic
395c809a-637f-11e8-8687-21314c1431ce,Corporate Regulation,Corporate_Regulation,Issue
3d431020-56c8-11e3-9e30-005056a8759d,Corporate Tax,Corporate_Tax,Issue
